Alisson, Mediocentro, 31, Brasil, São Paulo FC
Liziero, Mediocentro, 27, Brasil, São Paulo FC
Pedro Vilhena, Mediocentro, 23, Brasil, São Paulo FC
Oscar, Mediocentro ofensivo, 33, Brasil, São Paulo FC
Matheus Alves, Mediocentro ofensivo, 20, Brasil, São Paulo FC
Ferreirinha, Extremo izquierdo, 27, Brasil, São Paulo FC
Lucca, Extremo izquierdo, 17, Brasil, São Paulo FC
Lucas Moura, Extremo derecho, 32, Brasil, São Paulo FC
Henrique Carmo, Extremo derecho, 18, Brasil, São Paulo FC
Lucas Ferreira, Extremo derecho, 19, Brasil, São Paulo FC
Luciano, Mediapunta, 32, Brasil, São Paulo FC
André Silva, Delantero centro, 27, Brasil, São Paulo FC
Ryan Francisco, Delantero centro, 18, Brasil, São Paulo FC
Jonathan Calleri, Delantero centro, 31, Argentina, São Paulo FC
Hugo Souza, Portero, 26, Brasil, SC Corinthians
Matheus Donelli, Portero, 23, Brasil, SC Corinthians
Felipe Longo, Portero, 20, Brasil, SC Corinthians
Kauê, Portero, 21, Brasil, SC Corinthians
Félix Torres, Defensa central, 28, Ecuador, SC Corinthians
Cacá, Defensa central, 26, Brasil, SC Corinthians
André Ramalho, Defensa central, 33, Brasil, SC Corinthians
Tchoca, Defensa central, 21, Brasil, SC Corinthians
Gustavo Henrique, Defensa central, 32, Brasil, SC Corinthians
Matheus Bidu, Lateral izquierdo, 26, Brasil, SC Corinthians
Diego Palacios, Lateral izquierdo, 25, Ecuador, SC Corinthians
Hugo, Lateral izquierdo, 27, Brasil, SC Corinthians
Fabrizio Angileri, Lateral izquierdo, 31, Argentina, SC Corinthians
Matheuzinho, Lateral derecho, 24, Brasil, SC Corinthians
Léo Mana, Lateral derecho, 21, Brasil, SC Corinthians
Raniele, Pivote, 28, Brasil, SC Corinthians
José Martínez, Pivote, 30, Venezuela, SC Corinthians
Ryan, Pivote, 21, Brasil, SC Corinthians
Breno Bidon, Mediocentro, 20, Brasil, SC Corinthians
Maycon, Mediocentro, 27, Brasil, SC Corinthians
Alex Santana, Mediocentro, 30, Brasil, SC Corinthians
André Carrillo, Mediocentro, 33, Perú, SC Corinthians
