Leonardo Jara, Lateral derecho, 33, Argentina, CD Godoy Cruz Antonio Tomba
Facundo Ardiles, Lateral derecho, 26, Argentina, CD Godoy Cruz Antonio Tomba
Francisco Facello, Lateral derecho, 21, Argentina, CD Godoy Cruz Antonio Tomba
Bruno Leyes, Pivote, 23, Argentina, CD Godoy Cruz Antonio Tomba
Vicente Poggi, Pivote, 22, Uruguay, CD Godoy Cruz Antonio Tomba
Nicolás Fernández, Mediocentro, 26, Uruguay, CD Godoy Cruz Antonio Tomba
Gonzalo Abrego, Mediocentro, 24, Argentina, CD Godoy Cruz Antonio Tomba
Mariano Santiago, Mediocentro, 23, Argentina, CD Godoy Cruz Antonio Tomba
Agustín Valverde, Interior derecho, 22, Argentina, CD Godoy Cruz Antonio Tomba
Tomás Pozzo, Mediocentro ofensivo, 24, Argentina, CD Godoy Cruz Antonio Tomba
Bautista Cejas, Mediocentro ofensivo, 26, Argentina, CD Godoy Cruz Antonio Tomba
Juan Pérez, Mediocentro ofensivo, 20, Colombia, CD Godoy Cruz Antonio Tomba
Agustín Villalobos, Mediocentro ofensivo, 21, Argentina, CD Godoy Cruz Antonio Tomba
Luciano Pascual, Mediocentro ofensivo, 20, Argentina, CD Godoy Cruz Antonio Tomba
Santino Andino, Extremo izquierdo, 19, Argentina, CD Godoy Cruz Antonio Tomba
Bastián Yáñez, Extremo izquierdo, 23, Chile, CD Godoy Cruz Antonio Tomba
Facundo Altamira, Extremo derecho, 23, Argentina, CD Godoy Cruz Antonio Tomba
Matías González, Extremo derecho, 25, Argentina, CD Godoy Cruz Antonio Tomba
Daniel Barrea, Delantero centro, 23, Argentina, CD Godoy Cruz Antonio Tomba
Luca Martínez Dupuy, Delantero centro, 23, México/Argentina, CD Godoy Cruz Antonio Tomba
Kevin Parzajuk, Delantero centro, 22, Paraguay/Polonia, CD Godoy Cruz Antonio Tomba
Agustín Auzmendi, Delantero centro, 27, Argentina, CD Godoy Cruz Antonio Tomba
Nahuel Ulariaga, Delantero centro, 22, Argentina, CD Godoy Cruz Antonio Tomba


Keylor Navas, Portero, 38, Costa Rica/España, CA Newell's Old Boys
Lucas Hoyos, Portero, 35, Argentina, CA Newell's Old Boys
Josué Reinatti, Portero, 21, Argentina, CA Newell's Old Boys
Saúl Salcedo, Defensa central, 27, Paraguay, CA Newell's Old Boys
Luca Sosa, Defensa central, 30, Argentina/Ecuador, CA Newell's Old Boys
Victor Cuesta, Defensa central, 35, Argentina/Brasil, CA Newell's Old Boys
Luciano Lollo, Defensa central, 37, Argentina/Italia, CA Newell's Old Boys
Ángelo Martino, Lateral izquierdo, 26, Argentina/Italia, CA Newell's Old Boys
Alejo Tabares, Lateral izquierdo, 23, Argentina, CA Newell's Old Boys
Martín Luciano, Lateral izquierdo, 21, Argentina, CA Newell's Old Boys
Brian Calderara, Lateral izquierdo, 26, Argentina, CA Newell's Old Boys
Alejo Montero, Lateral derecho, 26, Argentina, CA Newell's Old Boys
Tomás Jacob, Lateral derecho, 20, Argentina, CA Newell's Old Boys
Juan Ignacio Méndez, Pivote, 27, Argentina/Chile, CA Newell's Old Boys
Éver Banega, Mediocentro, 36, Argentina/España, CA Newell's Old Boys
Luca Regiardo, Mediocentro, 18, Argentina, CA Newell's Old Boys
David Sotelo, Mediocentro, 21, Argentina, CA Newell's Old Boys
Gonzalo Maroni, Mediocentro ofensivo, 25, Argentina/Italia, CA Newell's Old Boys
Lisandro Montenegro, Mediocentro ofensivo, 21, Argentina, CA Newell's Old Boys
Valentino Acuña, Mediocentro ofensivo, 18, Argentina, CA Newell's Old Boys
Luciano Herrera, Extremo izquierdo, 28, Argentina, CA Newell's Old Boys
Misael Jaime, Extremo izquierdo, 20, Argentina, CA Newell's Old Boys
Mateo Silvetti, Extremo derecho, 18, Argentina, CA Newell's Old Boys
Fernando Cardozo, Extremo derecho, 23, Paraguay, CA Newell's Old Boys
Giovani Chiaverano, Extremo derecho, 19, Argentina, CA Newell's Old Boys
