Sebastián Cocimano, Delantero centro, 25, Argentina, CA San Telmo
Gonzalo Aquilino, Delantero centro, 25, Argentina, CA San Telmo
Nahuel Curcio, Delantero, 21, Argentina, CA San Telmo
Juan Cruz Zurbriggen, Delantero centro, 25, Argentina, CA San Telmo
Francesco Toldo, Delantero centro, 21, Argentina, CA San Telmo
Martiniano Compagnucci, Delantero centro, 22, Argentina, CA San Telmo
Nahuel Pezzini, Portero, 28, Argentina, CA Güemes
Mauro Leguiza, Portero, 31, Argentina, CA Güemes
Juan Bobba, Portero, 24, Argentina, CA Güemes
Miguel Ángel Acosta, Portero, 23, Argentina, CA Güemes
Ignacio Salvatierra, Defensa, 22, Argentina, CA Güemes
Nicolás Monserrat, Defensa central, 28, Argentina, CA Güemes
Walter Juárez, Defensa central, 26, Argentina, CA Güemes
Brian Machuca, Defensa central, 30, Argentina, CA Güemes
Fernando González, Defensa central, 36, Argentina, CA Güemes
Matías Escudero, Defensa central, 36, Argentina, CA Güemes
Facundo Galván, Defensa central, 22, Argentina, CA Güemes
Julián Gauna, Lateral izquierdo, 30, Argentina, CA Güemes
Federico López, Lateral izquierdo, 35, Argentina, CA Güemes
Mariano Bettini, Lateral derecho, 29, Argentina, CA Güemes
Tomás Federico, Pivote, 27, Argentina, CA Güemes
Gonzalo Papa, Pivote, 36, Uruguay, CA Güemes
Emiliano Griffa, Mediocentro, 25, Argentina, CA Güemes
Matías Fissore, Mediocentro, 34, Argentina, CA Güemes
Patricio Pérez, Mediocentro, 24, Argentina, CA Güemes
Tomás Martinez, Mediocentro, 23, Argentina, CA Güemes
Milton Gerez, Interior derecho, 27, Argentina, CA Güemes
