Pedro Porro, Lateral derecho, 25, España, Tottenham Hotspur
Archie Gray, Pivote, 19, Inglaterra, Tottenham Hotspur
Rodrigo Bentancur, Pivote, 27, Uruguay, Tottenham Hotspur
Yves Bissouma, Pivote, 28, Malí, Tottenham Hotspur
Lucas Bergvall, Mediocentro, 19, Suecia, Tottenham Hotspur
Pape Matar Sarr, Mediocentro, 22, Senegal, Tottenham Hotspur
Dejan Kulusevski, Mediocentro ofensivo, 25, Suecia, Tottenham Hotspur
James Maddison, Mediocentro ofensivo, 28, Inglaterra, Tottenham Hotspur
Heung-min Son, Extremo izquierdo, 32, Corea del Sur, Tottenham Hotspur
Mikey Moore, Extremo izquierdo, 17, Inglaterra, Tottenham Hotspur
Timo Werner, Extremo izquierdo, 29, Alemania, Tottenham Hotspur
Brennan Johnson, Extremo derecho, 24, Gales, Tottenham Hotspur
Wilson Odobert, Extremo derecho, 20, Francia, Tottenham Hotspur
Dominic Solanke, Delantero centro, 27, Inglaterra, Tottenham Hotspur
Mathys Tel, Delantero centro, 20, Francia, Tottenham Hotspur
Richarlison, Delantero centro, 28, Brasil, Tottenham Hotspur
Dane Scarlett, Delantero centro, 21, Inglaterra, Tottenham Hotspur
Emiliano Martínez, Portero, 32, Argentina, Aston Villa
Robin Olsen, Portero, 35, Suecia, Aston Villa
Ezri Konsa, Defensa central, 27, Inglaterra, Aston Villa
Pau Torres, Defensa central, 28, España, Aston Villa
Tyrone Mings, Defensa central, 32, Inglaterra, Aston Villa
Kortney Hause, Defensa central, 29, Inglaterra, Aston Villa
Ian Maatsen, Lateral izquierdo, 23, Países Bajos, Aston Villa
Lucas Digne, Lateral izquierdo, 31, Francia, Aston Villa
Matty Cash, Lateral derecho, 27, Polonia, Aston Villa
Axel Disasi, Lateral derecho, 27, Francia, Aston Villa
Andrés García, Lateral derecho, 22, España, Aston Villa
Amadou Onana, Pivote, 23, Bélgica, Aston Villa
Boubacar Kamara, Pivote, 25, Francia, Aston Villa
Lamare Bogarde, Pivote, 21, Países Bajos, Aston Villa
Youri Tielemans, Mediocentro, 28, Bélgica, Aston Villa
John McGinn, Mediocentro, 30, Escocia, Aston Villa
Ross Barkley, Mediocentro, 31, Inglaterra, Aston Villa
Jacob Ramsey, Interior izquierdo, 24, Inglaterra, Aston Villa
Morgan Rogers, Mediocentro ofensivo, 22, Inglaterra, Aston Villa
Marco Asensio, Mediocentro ofensivo, 29, España, Aston Villa
Marcus Rashford, Extremo izquierdo, 27, Inglaterra, Aston Villa
Leon Bailey, Extremo derecho, 27, Jamaica, Aston Villa
Donyell Malen, Extremo derecho, 26, Países Bajos, Aston Villa
Ollie Watkins, Delantero centro, 29, Inglaterra, Aston Villa
Kepa Arrizabalaga, Portero, 30, España, AFC Bournemouth
Mark Travers, Portero, 26, Irlanda, AFC Bournemouth
Will Dennis, Portero, 24, Inglaterra, AFC Bournemouth
Dean Huijsen, Defensa central, 20, España, AFC Bournemouth
Ilya Zabarnyi, Defensa central, 22, Ucrania, AFC Bournemouth
Marcos Senesi, Defensa central, 28, Argentina, AFC Bournemouth
Chris Mepham, Defensa central, 27, Gales, AFC Bournemouth
James Hill, Defensa central, 23, Inglaterra, AFC Bournemouth
Matai Akinmboni, Defensa central, 18, Estados Unidos, AFC Bournemouth
Max Kinsey, Defensa central, 20, Inglaterra, AFC Bournemouth
Milos Kerkez, Lateral izquierdo, 21, Hungría, AFC Bournemouth
Julio Soler, Lateral izquierdo, 20, Argentina, AFC Bournemouth
Julián Araujo, Lateral derecho, 23, México, AFC Bournemouth
Adam Smith, Lateral derecho, 34, Inglaterra, AFC Bournemouth
Tyler Adams, Pivote, 26, Estados Unidos, AFC Bournemouth
Ryan Christie, Pivote, 30, Escocia, AFC Bournemouth
Alex Scott, Mediocentro, 21, Inglaterra, AFC Bournemouth
Lewis Cook, Mediocentro, 28, Inglaterra, AFC Bournemouth
Justin Kluivert, Mediocentro ofensivo, 26, Países Bajos, AFC Bournemouth
Antoine Semenyo, Extremo izquierdo, 25, Ghana, AFC Bournemouth
Dango Ouattara, Extremo izquierdo, 23, Burkina Faso, AFC Bournemouth
Marcus Tavernier, Extremo izquierdo, 26, Inglaterra, AFC Bournemouth
Luis Sinisterra, Extremo izquierdo, 25, Colombia, AFC Bournemouth
David Brooks, Extremo derecho, 27, Gales, AFC Bournemouth
Evanilson, Delantero centro, 25, Brasil, AFC Bournemouth
Enes Ünal, Delantero centro, 28, Turquía, AFC Bournemouth
Daniel Jebbison, Delantero centro, 21, Canadá, AFC Bournemouth
Aaron Ramsdale, Portero, 27, Inglaterra, Southampton FC
Gavin Bazunu, Portero, 23, Irlanda, Southampton FC
Joe Lumley, Portero, 30, Inglaterra, Southampton FC
Alex McCarthy, Portero, 35, Inglaterra, Southampton FC
Taylor Harwood-Bellis, Defensa central, 23, Inglaterra, Southampton FC
Jan Bednarek, Defensa central, 29, Polonia, Southampton FC
Armel Bella-Kotchap, Defensa central, 23, Alemania, Southampton FC
Nathan Wood, Defensa central, 23, Inglaterra, Southampton FC
Jack Stephens, Defensa central, 31, Inglaterra, Southampton FC
Joachim Kayi Sanda, Defensa central, 18, Francia, Southampton FC
Juan Larios, Lateral izquierdo, 21, España, Southampton FC
Ryan Manning, Lateral izquierdo, 28, Irlanda, Southampton FC
Welington, Lateral izquierdo, 24, Brasil, Southampton FC
Charlie Taylor, Lateral izquierdo, 31, Inglaterra, Southampton FC
Kyle Walker-Peters, Lateral derecho, 28, Inglaterra, Southampton FC
Yukinari Sugawara, Lateral derecho, 24, Japón, Southampton FC
James Bree, Lateral derecho, 27, Inglaterra, Southampton FC
Lesley Ugochukwu, Pivote, 21, Francia, Southampton FC
Flynn Downes, Pivote, 26, Inglaterra, Southampton FC
Shea Charles, Pivote, 21, Irlanda del Norte, Southampton FC
Mateus Fernandes, Mediocentro, 20, Portugal, Southampton FC
Joe Aribo, Mediocentro, 28, Nigeria, Southampton FC
Will Smallbone, Mediocentro, 25, Irlanda, Southampton FC
Albert Grønbæk, Mediocentro ofensivo, 24, Dinamarca, Southampton FC
Adam Lallana, Mediocentro ofensivo, 37, Inglaterra, Southampton FC
Kamaldeen Sulemana, Extremo izquierdo, 23, Ghana, Southampton FC
Ryan Fraser, Extremo izquierdo, 31, Escocia, Southampton FC
Tyler Dibling, Extremo derecho, 19, Inglaterra, Southampton FC
Adam Armstrong, Delantero centro, 28, Inglaterra, Southampton FC
Cameron Archer, Delantero centro, 23, Inglaterra, Southampton FC
Paul Onuachu, Delantero centro, 31, Nigeria, Southampton FC
Ross Stewart, Delantero centro, 28, Escocia, Southampton FC
